id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-05-31,254.84,0.57
REG07,BAT002,2024-05-31,3597.12,0.84
REG03,BAT003,2024-05-31,190.48,0.77
REG01,BAT004,2024-05-31,2126.97,0.7
REG06,BAT005,2024-05-31,4961.92,0.8
REG07,BAT006,2024-05-31,1697.31,0.64
REG02,BAT007,2024-05-31,921.34,0.61
REG04,BAT008,2024-05-31,264.98,0.76
REG02,BAT009,2024-05-31,2256.66,0.81
REG08,BAT010,2024-05-31,4294.23,0.48
REG07,BAT011,2024-05-31,,0.61
REG03,BAT012,2024-05-31,1877.86,0.59
REG05,BAT013,2024-05-31,5115.65,0.47
REG05,BAT014,2024-05-31,5102.61,0.74
REG02,BAT015,2024-05-31,2312.91,0.81
REG01,BAT016,2024-05-31,6103.17,0.74
REG02,BAT017,2024-05-31,3092.6,0.77
REG03,BAT018,2024-05-31,3127.47,0.77
REG06,BAT019,2024-05-31,543.75,0.5
REG04,BAT020,2024-05-31,2013.08,0.74
REG02,BAT021,2024-05-31,1040.48,0.54
REG04,BAT022,2024-05-31,353.84,0.52
REG01,BAT023,2024-05-31,695.91,0.8
REG04,BAT024,2024-05-31,1491.35,0.61
REG02,BAT025,2024-05-31,125.3,0.52
REG08,BAT026,2024-05-31,283.48,0.64
REG08,BAT027,2024-05-31,3124.24,0.57
REG01,BAT028,2024-05-31,656.08,0.51
REG03,BAT029,2024-05-31,531.85,0.81
REG04,BAT030,2024-05-31,3124.6,0.85
REG06,BAT031,2024-05-31,2072.94,0.48
REG02,BAT032,2024-05-31,1088.28,0.62
REG06,BAT033,2024-05-31,2159.67,0.6
REG02,BAT034,2024-05-31,2853.59,0.68
REG06,BAT035,2024-05-31,3921.29,0.54
REG07,BAT036,2024-05-31,1372.29,0.6
REG07,BAT037,2024-05-31,3804.13,0.63
REG03,BAT038,2024-05-31,1947.02,0.58
REG04,BAT039,2024-05-31,2321.36,0.46
REG04,BAT040,2024-05-31,2068.0,0.65
REG07,BAT041,2024-05-31,870.39,0.55
REG04,BAT042,2024-05-31,1112.24,0.62
REG07,BAT043,2024-05-31,5472.18,0.59
REG06,BAT044,2024-05-31,1627.05,0.57
REG06,BAT045,2024-05-31,2197.28,0.66
REG01,BAT046,2024-05-31,3701.5,0.7
REG06,BAT047,2024-05-31,4196.15,0.66
REG06,BAT048,2024-05-31,636.53,0.49
REG05,BAT049,2024-05-31,1044.05,0.74
REG06,BAT050,2024-05-31,1628.56,0.81
