id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2024-09-30,168.29,0.49
REG07,BAT002,2024-09-30,3765.74,0.76
REG03,BAT003,2024-09-30,245.43,0.52
REG01,BAT004,2024-09-30,2234.33,0.71
REG06,BAT005,2024-09-30,6221.24,0.74
REG07,BAT006,2024-09-30,1188.14,0.62
REG02,BAT007,2024-09-30,849.13,0.68
REG04,BAT008,2024-09-30,185.75,0.73
REG02,BAT009,2024-09-30,3112.13,0.76
REG08,BAT010,2024-09-30,3995.83,0.76
REG07,BAT011,2024-09-30,1409.11,0.46
REG03,BAT012,2024-09-30,1497.66,0.74
REG05,BAT013,2024-09-30,4525.28,0.68
REG05,BAT014,2024-09-30,3863.7,0.57
REG02,BAT015,2024-09-30,2459.93,0.62
REG01,BAT016,2024-09-30,-5423.66,0.72
REG02,BAT017,2024-09-30,4728.76,0.62
REG03,BAT018,2024-09-30,4273.25,0.83
REG06,BAT019,2024-09-30,800.83,0.73
REG04,  BAT020  ,2024-09-30,2510.67,0.54
REG02,BAT021,2024-09-30,1012.27,0.73
REG04,BAT022,2024-09-30,400.04,1.92
REG01,BAT023,2024-09-30,519.89,0.76
REG04,BAT024,2024-09-30,1147.85,0.67
REG02,BAT025,2024-09-30,125.71,1.79
REG08,BAT026,2024-09-30,286.93,0.67
REG08,BAT027,2024-09-30,3711.04,0.65
REG01,BAT028,2024-09-30,1019.72,0.65
REG03,BAT029,2024-09-30,481.32,0.7
REG04,BAT030,2024-09-30,2381.71,0.74
REG06,BAT031,2024-09-30,1690.33,0.58
REG02,BAT032,2024-09-30,1044.91,0.66
REG06,BAT033,2024-09-30,1520.73,0.77
REG02,BAT034,2024-09-30,2894.34,1.75
REG06,BAT035,2024-09-30,3488.86,0.65
REG07,BAT036,30/09/2024,1125.1,0.82
REG07,BAT037,30/09/2024,3661.58,0.76
REG03,BAT038,2024-09-30,1396.15,0.79
REG04,BAT039,2024-09-30,3491.8,0.73
REG04,BAT040,2024-09-30,,0.57
REG07,BAT041,2024-09-30,542.04,0.68
REG04,BAT042,2024-09-30,1405.21,0.62
REG07,BAT043,2024-09-30,4207.78,0.5
REG06,BAT044,2024-09-30,1498.11,0.59
REG06,BAT045,2024-09-30,1530.24,0.64
REG01,BAT046,2024-09-30,3357.28,0.6
REG06,BAT047,2024-09-30,4718.39,0.74
REG06,BAT048,2024-09-30,627.61,0.67
REG05,BAT049,2024-09-30,766.71,0.68
REG06,BAT050,2024-09-30,1422.47,0.85
