fichier_source;id_region;id_batiment;type_energie;unite;compteur_id;consommation;date_mesure;heure_mesure;type_source
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;0.57;2025-01-13                                                                                          ;00                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;2.69;2025-01-13                                                                                          ;01                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.56;2025-01-13                                                                                          ;02                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;0.71;2025-01-13                                                                                          ;03                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.43;2025-01-13                                                                                          ;04                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.28;2025-01-13                                                                                          ;05                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.17;2025-01-13                                                                                          ;06                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.65;2025-01-13                                                                                          ;07                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.16;2025-01-13                                                                                          ;08                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;4.69;2025-01-13                                                                                          ;09                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;2.73;2025-01-13                                                                                          ;10                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;0.75;2025-01-13                                                                                          ;11                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;-1.55;2025-01-13                                                                                          ;12                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.14;2025-01-13                                                                                          ;13                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;0.66;2025-01-13                                                                                          ;14                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;0.96;2025-01-13                                                                                          ;15                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;2.79;2025-01-13                                                                                          ;16                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;2.11;2025-01-13                                                                                          ;17                                                                                                  ;IMPORT_JSON
Eau_consumption_13_01_2025.json                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;REG01;BAT001;eau;m3;EAU_0002;1.76;2025-01-13                                                                                          ;18                                                                                                  ;IMPORT_JSON
