fichier_source;id_region;id_batiment;type_energie;unite;compteur_id;consommation;date_mesure;heure_mesure;type_source
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;0.6;2025-01-13;0;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;2.7;2025-01-13;1;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.6;2025-01-13;2;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;0.7;2025-01-13;3;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.4;2025-01-13;4;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.3;2025-01-13;5;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.2;2025-01-13;6;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.6;2025-01-13;7;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.2;2025-01-13;8;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;4.7;2025-01-13;9;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;2.7;2025-01-13;10;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;0.8;2025-01-13;11;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.1;2025-01-13;13;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;0.7;2025-01-13;14;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1;2025-01-13;15;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;2.8;2025-01-13;16;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;2.1;2025-01-13;17;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.8;2025-01-13;18;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;3.5;2025-01-13;19;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;3.8;2025-01-13;20;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT001;eau;m3;EAU_0002;1.8;2025-01-13;21;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;2.6;2025-01-13;0;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;2.4;2025-01-13;1;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;1.8;2025-01-13;2;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;1;2025-01-13;3;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;2.6;2025-01-13;4;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;207.8;2025-01-13;5;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;0.7;2025-01-13;6;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;3.1;2025-01-13;7;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;3.7;2025-01-13;8;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;1.8;2025-01-13;9;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;2;2025-01-13;10;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;2;2025-01-13;11;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;2.4;2025-01-13;12;IMPORT_JSON
Eau_consumption_13_01_2025.json;REG01;BAT005;eau;m3;EAU_0014;1.7;2025-01-13;13;IMPORT_JSON
