id_facture;id_contrat;date_emission;date_echeance;periode_debut;periode_fin;montant_ht;tva;montant_ttc;cout_energie;consommation;statut_paiement;id_client;id_compteur;created_at;updated_at
FAC00002054         ;CTR000179      ;2022/02/01 00:00:00.000;2022/03/03 00:00:00.000;2022/01/02 00:00:00.000;2022/02/01 00:00:00.000;28,03;20,0;33,64;16,82;311,43;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00001233         ;CTR000107      ;2022/02/05 00:00:00.000;2022/03/07 00:00:00.000;2022/01/06 00:00:00.000;2022/02/05 00:00:00.000;208,8;20,0;250,56;125,28;1392,0;En retard ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000082         ;CTR000008      ;2022/02/13 00:00:00.000;2022/03/15 00:00:00.000;2022/01/14 00:00:00.000;2022/02/13 00:00:00.000;242,49;20,0;290,99;145,49;1616,59;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00002064         ;CTR000180      ;2022/02/21 00:00:00.000;2022/03/23 00:00:00.000;2022/01/22 00:00:00.000;2022/02/21 00:00:00.000;51,95;20,0;62,34;31,17;12,37;En retard ;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00000061         ;CTR000006      ;2022/03/01 00:00:00.000;2022/03/31 00:00:00.000;2022/01/30 00:00:00.000;2022/03/01 00:00:00.000;8,56;20,0;10,27;5,13;95,06;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00002055         ;CTR000179      ;2022/03/03 00:00:00.000;2022/04/02 00:00:00.000;2022/02/01 00:00:00.000;2022/03/03 00:00:00.000;32,59;20,0;39,11;19,55;362,07;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00001421         ;CTR000123      ;2022/03/05 00:00:00.000;2022/04/04 00:00:00.000;2022/02/03 00:00:00.000;2022/03/05 00:00:00.000;33,92;20,0;40,7;20,35;376,93;En retard ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001234         ;CTR000107      ;2022/03/07 00:00:00.000;2022/04/06 00:00:00.000;2022/02/05 00:00:00.000;2022/03/07 00:00:00.000;242,98;20,0;291,58;145,79;1619,84;Payée     ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000
FAC00000253         ;CTR000023      ;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;2022/02/08 00:00:00.000;2022/03/10 00:00:00.000;9,07;20,0;10,88;5,44;100,82;Payée     ;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000400         ;CTR000036      ;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;2022/02/08 00:00:00.000;2022/03/10 00:00:00.000;385,14;20,0;462,17;231,08;91,7;Payée     ;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000
FAC00000083         ;CTR000008      ;2022/03/15 00:00:00.000;2022/04/14 00:00:00.000;2022/02/13 00:00:00.000;2022/03/15 00:00:00.000;77,34;20,0;92,81;46,41;515,63;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
FAC00000492         ;CTR000044      ;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;2022/02/14 00:00:00.000;2022/03/16 00:00:00.000;224,32;20,0;269,18;134,59;53,41;Payée     ;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00001385         ;CTR000120      ;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;2022/02/14 00:00:00.000;2022/03/16 00:00:00.000;309,04;20,0;370,85;185,42;73,58;En retard ;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00001491         ;CTR000129      ;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;2022/02/14 00:00:00.000;2022/03/16 00:00:00.000;160,19;20,0;192,23;96,11;1067,94;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000
FAC00000588         ;CTR000052      ;2022/03/21 00:00:00.000;2022/04/20 00:00:00.000;2022/02/19 00:00:00.000;2022/03/21 00:00:00.000;234,31;20,0;281,17;140,59;1562,06;En attente;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000
FAC00002065         ;CTR000180      ;2022/03/23 00:00:00.000;2022/04/22 00:00:00.000;2022/02/21 00:00:00.000;2022/03/23 00:00:00.000;307,15;20,0;368,58;184,29;73,13;Payée     ;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000
FAC00000062         ;CTR000006      ;2022/03/31 00:00:00.000;2022/04/30 00:00:00.000;2022/03/01 00:00:00.000;2022/03/31 00:00:00.000;37,56;20,0;45,07;22,54;417,33;En retard ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000
