id_paiement;id_facture;date_paiement;montant;mode_paiement;created_at;updated_at;id_contrat;id_client
PAY00001536         ;FAC00002054         ;2022/03/03 00:00:00.000;33,64;Virement      ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000179      ;CLI00033  
PAY00000053         ;FAC00000082         ;2022/03/15 00:00:00.000;290,99;Prélèvement   ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000008      ;CLI00025  
PAY00000039         ;FAC00000061         ;2022/03/17 00:00:00.000;10,27;Prélèvement   ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000006      ;CLI00015  
PAY00001537         ;FAC00002055         ;2022/03/22 00:00:00.000;39,11;Chèque        ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000179      ;CLI00033  
PAY00000054         ;FAC00000083         ;2022/04/02 00:00:00.000;92,81;Prélèvement   ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000008      ;CLI00025  
PAY00000186         ;FAC00000253         ;2022/04/09 00:00:00.000;10,88;Virement      ;2026/01/03 22:26:16.000000000;2026/01/03 22:26:16.000000000;CTR000023      ;CLI00097  
PAY00000922         ;FAC00001234         ;2022/04/11 00:00:00.000;291,58;Espèces       ;2026/01/03 22:26:19.000000000;2026/01/03 22:26:19.000000000;CTR000107      ;CLI00140  
PAY00001118         ;FAC00001491         ;2022/04/12 00:00:00.000;192,23;Prélèvement   ;2026/01/03 22:26:20.000000000;2026/01/03 22:26:20.000000000;CTR000129      ;CLI00083  
PAY00001544         ;FAC00002065         ;2022/04/14 00:00:00.000;368,58;Prélèvement   ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000180      ;CLI00086  
PAY00000365         ;FAC00000492         ;2022/04/15 00:00:00.000;269,18;Virement      ;2026/01/03 22:26:17.000000000;2026/01/03 22:26:17.000000000;CTR000044      ;CLI00085  
PAY00000296         ;FAC00000400         ;2022/04/19 00:00:00.000;462,17;Carte bancaire;2026/01/03 22:26:16.000000000;2026/01/03 22:26:16.000000000;CTR000036      ;CLI00176  
PAY00000108         ;FAC00000154         ;2022/04/20 00:00:00.000;6,8;Virement      ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000014      ;CLI00077  
PAY00001538         ;FAC00002056         ;2022/04/27 00:00:00.000;16,84;Espèces       ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000179      ;CLI00033  
PAY00001253         ;FAC00001671         ;2022/05/01 00:00:00.000;51,58;Virement      ;2026/01/03 22:26:21.000000000;2026/01/03 22:26:21.000000000;CTR000145      ;CLI00023  
PAY00000297         ;FAC00000401         ;2022/05/02 00:00:00.000;256,63;Carte bancaire;2026/01/03 22:26:16.000000000;2026/01/03 22:26:16.000000000;CTR000036      ;CLI00176  
PAY00001058         ;FAC00001422         ;2022/05/09 00:00:00.000;8,32;Espèces       ;2026/01/03 22:26:20.000000000;2026/01/03 22:26:20.000000000;CTR000123      ;CLI00020  
PAY00000187         ;FAC00000254         ;2022/05/12 00:00:00.000;18,12;Espèces       ;2026/01/03 22:26:16.000000000;2026/01/03 22:26:16.000000000;CTR000023      ;CLI00097  
PAY00001119         ;FAC00001492         ;2022/05/13 00:00:00.000;159,17;Espèces       ;2026/01/03 22:26:20.000000000;2026/01/03 22:26:20.000000000;CTR000129      ;CLI00083  
PAY00000966         ;FAC00001303         ;2022/05/18 00:00:00.000;42,73;Chèque        ;2026/01/03 22:26:20.000000000;2026/01/03 22:26:20.000000000;CTR000113      ;CLI00158  
PAY00001539         ;FAC00002057         ;2022/05/18 00:00:00.000;6,23;Virement      ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000179      ;CLI00033  
PAY00000055         ;FAC00000084         ;2022/05/22 00:00:00.000;77,26;Virement      ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000008      ;CLI00025  
PAY00000437         ;FAC00000589         ;2022/05/26 00:00:00.000;98,52;Carte bancaire;2026/01/03 22:26:17.000000000;2026/01/03 22:26:17.000000000;CTR000052      ;CLI00141  
PAY00001059         ;FAC00001423         ;2022/05/26 00:00:00.000;22,63;Espèces       ;2026/01/03 22:26:20.000000000;2026/01/03 22:26:20.000000000;CTR000123      ;CLI00020  
PAY00000298         ;FAC00000402         ;2022/05/27 00:00:00.000;197,41;Prélèvement   ;2026/01/03 22:26:16.000000000;2026/01/03 22:26:16.000000000;CTR000036      ;CLI00176  
PAY00001029         ;FAC00001387         ;2022/05/31 00:00:00.000;98,44;Virement      ;2026/01/03 22:26:20.000000000;2026/01/03 22:26:20.000000000;CTR000120      ;CLI00183  
PAY00000855         ;FAC00001137         ;2022/06/02 00:00:00.000;42,44;Virement      ;2026/01/03 22:26:19.000000000;2026/01/03 22:26:19.000000000;CTR000099      ;CLI00092  
PAY00001254         ;FAC00001672         ;2022/06/02 00:00:00.000;46,3;Carte bancaire;2026/01/03 22:26:21.000000000;2026/01/03 22:26:21.000000000;CTR000145      ;CLI00023  
