id_facture;id_contrat;date_emission;date_echeance;periode_debut;periode_fin;montant_ht;tva;montant_ttc;cout_energie;consommation;statut_paiement;id_client;id_compteur;created_at;updated_at;montant_ht ;montant_ttc_1;cout_energie_1
FAC00002054         ;CTR000179      ;2022/02/01 00:00:00.000;2022/03/03 00:00:00.000;2022/01/02 00:00:00.000;2022/02/01 00:00:00.000;28;20;33;16;311;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;28;33;16
FAC00001233         ;CTR000107      ;2022/02/05 00:00:00.000;2022/03/07 00:00:00.000;2022/01/06 00:00:00.000;2022/02/05 00:00:00.000;208;20;250;125;1392;En retard ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;208;250;125
FAC00000082         ;CTR000008      ;2022/02/13 00:00:00.000;2022/03/15 00:00:00.000;2022/01/14 00:00:00.000;2022/02/13 00:00:00.000;242;20;290;145;1616;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;242;290;145
FAC00002064         ;CTR000180      ;2022/02/21 00:00:00.000;2022/03/23 00:00:00.000;2022/01/22 00:00:00.000;2022/02/21 00:00:00.000;51;20;62;31;12;En retard ;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;51;62;31
FAC00000061         ;CTR000006      ;2022/03/01 00:00:00.000;2022/03/31 00:00:00.000;2022/01/30 00:00:00.000;2022/03/01 00:00:00.000;8;20;10;5;95;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;8;10;5
FAC00002055         ;CTR000179      ;2022/03/03 00:00:00.000;2022/04/02 00:00:00.000;2022/02/01 00:00:00.000;2022/03/03 00:00:00.000;32;20;39;19;362;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;32;39;19
FAC00001421         ;CTR000123      ;2022/03/05 00:00:00.000;2022/04/04 00:00:00.000;2022/02/03 00:00:00.000;2022/03/05 00:00:00.000;33;20;40;20;376;En retard ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;33;40;20
FAC00001234         ;CTR000107      ;2022/03/07 00:00:00.000;2022/04/06 00:00:00.000;2022/02/05 00:00:00.000;2022/03/07 00:00:00.000;242;20;291;145;1619;Payée     ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;242;291;145
FAC00000253         ;CTR000023      ;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;2022/02/08 00:00:00.000;2022/03/10 00:00:00.000;9;20;10;5;100;Payée     ;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;9;10;5
FAC00000400         ;CTR000036      ;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;2022/02/08 00:00:00.000;2022/03/10 00:00:00.000;385;20;462;231;91;Payée     ;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000;385;462;231
FAC00000083         ;CTR000008      ;2022/03/15 00:00:00.000;2022/04/14 00:00:00.000;2022/02/13 00:00:00.000;2022/03/15 00:00:00.000;77;20;92;46;515;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;77;92;46
FAC00000492         ;CTR000044      ;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;2022/02/14 00:00:00.000;2022/03/16 00:00:00.000;224;20;269;134;53;Payée     ;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;224;269;134
FAC00001385         ;CTR000120      ;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;2022/02/14 00:00:00.000;2022/03/16 00:00:00.000;309;20;370;185;73;En retard ;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;309;370;185
FAC00001491         ;CTR000129      ;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;2022/02/14 00:00:00.000;2022/03/16 00:00:00.000;160;20;192;96;1067;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;160;192;96
FAC00000588         ;CTR000052      ;2022/03/21 00:00:00.000;2022/04/20 00:00:00.000;2022/02/19 00:00:00.000;2022/03/21 00:00:00.000;234;20;281;140;1562;En attente;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;234;281;140
FAC00002065         ;CTR000180      ;2022/03/23 00:00:00.000;2022/04/22 00:00:00.000;2022/02/21 00:00:00.000;2022/03/23 00:00:00.000;307;20;368;184;73;Payée     ;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;307;368;184
FAC00000062         ;CTR000006      ;2022/03/31 00:00:00.000;2022/04/30 00:00:00.000;2022/03/01 00:00:00.000;2022/03/31 00:00:00.000;37;20;45;22;417;En retard ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;37;45;22
FAC00000154         ;CTR000014      ;2022/04/01 00:00:00.000;2022/05/01 00:00:00.000;2022/03/02 00:00:00.000;2022/04/01 00:00:00.000;5;20;6;3;63;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;5;6;3
FAC00001671         ;CTR000145      ;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;2022/03/03 00:00:00.000;2022/04/02 00:00:00.000;42;20;51;25;477;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000;42;51;25
FAC00002056         ;CTR000179      ;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;2022/03/03 00:00:00.000;2022/04/02 00:00:00.000;14;20;16;8;155;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;14;16;8
FAC00001422         ;CTR000123      ;2022/04/04 00:00:00.000;2022/05/04 00:00:00.000;2022/03/05 00:00:00.000;2022/04/04 00:00:00.000;6;20;8;4;76;Payée     ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;6;8;4
FAC00001235         ;CTR000107      ;2022/04/06 00:00:00.000;2022/05/06 00:00:00.000;2022/03/07 00:00:00.000;2022/04/06 00:00:00.000;113;20;136;68;756;En retard ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;113;136;68
FAC00000254         ;CTR000023      ;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;15;20;18;9;167;Payée     ;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;15;18;9
FAC00000401         ;CTR000036      ;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;2022/03/10 00:00:00.000;2022/04/09 00:00:00.000;213;20;256;128;50;Payée     ;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000;213;256;128
FAC00001303         ;CTR000113      ;2022/04/13 00:00:00.000;2022/05/13 00:00:00.000;2022/03/14 00:00:00.000;2022/04/13 00:00:00.000;35;20;42;21;395;Payée     ;CLI00158  ;GAZ_0036            ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;35;42;21
FAC00000084         ;CTR000008      ;2022/04/14 00:00:00.000;2022/05/14 00:00:00.000;2022/03/15 00:00:00.000;2022/04/14 00:00:00.000;64;20;77;38;429;Payée     ;CLI00025  ;ELEC_0136           ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;64;77;38
FAC00000493         ;CTR000044      ;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;414;20;497;248;98;En attente;CLI00085  ;EAU_0113            ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;414;497;248
FAC00001386         ;CTR000120      ;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;214;20;257;128;51;En attente;CLI00183  ;EAU_0083            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;214;257;128
FAC00001492         ;CTR000129      ;2022/04/15 00:00:00.000;2022/05/15 00:00:00.000;2022/03/16 00:00:00.000;2022/04/15 00:00:00.000;132;20;159;79;884;Payée     ;CLI00083  ;ELEC_0073           ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;132;159;79
FAC00000589         ;CTR000052      ;2022/04/20 00:00:00.000;2022/05/20 00:00:00.000;2022/03/21 00:00:00.000;2022/04/20 00:00:00.000;82;20;98;49;547;Payée     ;CLI00141  ;ELEC_0007           ;2026/01/03 22:25:23.000000000;2026/01/03 22:25:23.000000000;82;98;49
FAC00002066         ;CTR000180      ;2022/04/22 00:00:00.000;2022/05/22 00:00:00.000;2022/03/23 00:00:00.000;2022/04/22 00:00:00.000;358;20;430;215;85;En attente;CLI00086  ;EAU_0110            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;358;430;215
FAC00001623         ;CTR000141      ;2022/04/25 00:00:00.000;2022/05/25 00:00:00.000;2022/03/26 00:00:00.000;2022/04/25 00:00:00.000;154;20;185;92;1030;En attente;CLI00058  ;ELEC_0133           ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000;154;185;92
FAC00000063         ;CTR000006      ;2022/04/30 00:00:00.000;2022/05/30 00:00:00.000;2022/03/31 00:00:00.000;2022/04/30 00:00:00.000;44;20;53;26;498;Payée     ;CLI00015  ;GAZ_0003            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;44;53;26
FAC00000155         ;CTR000014      ;2022/05/01 00:00:00.000;2022/05/31 00:00:00.000;2022/04/01 00:00:00.000;2022/05/01 00:00:00.000;38;20;46;23;426;Payée     ;CLI00077  ;GAZ_0042            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;38;46;23
FAC00001672         ;CTR000145      ;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;-38;20;46;23;428;Payée     ;CLI00023  ;GAZ_0027            ;2026/01/03 22:25:29.000000000;2026/01/03 22:25:29.000000000;38;46;23
FAC00002057         ;CTR000179      ;2022/05/02 00:00:00.000;2022/06/01 00:00:00.000;2022/04/02 00:00:00.000;2022/05/02 00:00:00.000;5;20;6;3;57;Payée     ;CLI00033  ;GAZ_0069            ;2026/01/03 22:25:31.000000000;2026/01/03 22:25:31.000000000;5;6;3
FAC00001423         ;CTR000123      ;2022/05/04 00:00:00.000;2022/06/03 00:00:00.000;2022/04/04 00:00:00.000;2022/05/04 00:00:00.000;18;20;22;11;209;Payée     ;CLI00020  ;GAZ_0024            ;2026/01/03 22:25:28.000000000;2026/01/03 22:25:28.000000000;18;22;11
FAC00001236         ;CTR000107      ;2022/05/06 00:00:00.000;2022/06/05 00:00:00.000;2022/04/06 00:00:00.000;2022/05/06 00:00:00.000;249;20;299;149;1662;Payée     ;CLI00140  ;ELEC_0094           ;2026/01/03 22:25:27.000000000;2026/01/03 22:25:27.000000000;249;299;149
FAC00000255         ;CTR000023      ;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;31;20;38;19;355;En attente;CLI00097  ;GAZ_0111            ;2026/01/03 22:25:21.000000000;2026/01/03 22:25:21.000000000;31;38;19
FAC00000402         ;CTR000036      ;2022/05/09 00:00:00.000;2022/06/08 00:00:00.000;2022/04/09 00:00:00.000;2022/05/09 00:00:00.000;164;20;197;98;39;Payée     ;CLI00176  ;EAU_0098            ;2026/01/03 22:25:22.000000000;2026/01/03 22:25:22.000000000;164;197;98
FAC00001803         ;CTR000156      ;2022/05/10 00:00:00.000;2022/06/09 00:00:00.000;2022/04/10 00:00:00.000;2022/05/10 00:00:00.000;236;20;284;142;1579;Payée     ;CLI00154  ;ELEC_0073           ;2026/01/03 22:25:30.000000000;2026/01/03 22:25:30.000000000;236;284;142
