id_paiement;id_facture;date_paiement;montant;mode_paiement;created_at;updated_at;id_contrat;id_client
PAY00001536         ;FAC00002054         ;2022/03/03 00:00:00.000;33;Virement      ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000179      ;CLI00033  
PAY00000053         ;FAC00000082         ;2022/03/15 00:00:00.000;290;Prélèvement   ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000008      ;CLI00025  
PAY00000039         ;FAC00000061         ;2022/03/17 00:00:00.000;10;Prélèvement   ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000006      ;CLI00015  
PAY00001537         ;FAC00002055         ;2022/03/22 00:00:00.000;39;Chèque        ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000179      ;CLI00033  
PAY00000054         ;FAC00000083         ;2022/04/02 00:00:00.000;92;Prélèvement   ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000008      ;CLI00025  
PAY00000186         ;FAC00000253         ;2022/04/09 00:00:00.000;10;Virement      ;2026/01/03 22:26:16.000000000;2026/01/03 22:26:16.000000000;CTR000023      ;CLI00097  
PAY00000922         ;FAC00001234         ;2022/04/11 00:00:00.000;291;Espèces       ;2026/01/03 22:26:19.000000000;2026/01/03 22:26:19.000000000;CTR000107      ;CLI00140  
PAY00001118         ;FAC00001491         ;2022/04/12 00:00:00.000;192;Prélèvement   ;2026/01/03 22:26:20.000000000;2026/01/03 22:26:20.000000000;CTR000129      ;CLI00083  
PAY00001544         ;FAC00002065         ;2022/04/14 00:00:00.000;368;Prélèvement   ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000180      ;CLI00086  
PAY00000365         ;FAC00000492         ;2022/04/15 00:00:00.000;269;Virement      ;2026/01/03 22:26:17.000000000;2026/01/03 22:26:17.000000000;CTR000044      ;CLI00085  
PAY00000296         ;FAC00000400         ;2022/04/19 00:00:00.000;462;Carte bancaire;2026/01/03 22:26:16.000000000;2026/01/03 22:26:16.000000000;CTR000036      ;CLI00176  
PAY00000108         ;FAC00000154         ;2022/04/20 00:00:00.000;6;Virement      ;2026/01/03 22:26:15.000000000;2026/01/03 22:26:15.000000000;CTR000014      ;CLI00077  
PAY00001538         ;FAC00002056         ;2022/04/27 00:00:00.000;16;Espèces       ;2026/01/03 22:26:22.000000000;2026/01/03 22:26:22.000000000;CTR000179      ;CLI00033  
