id_region;id_batiment;date_rapport;emission_CO2_kg;taux_recyclage;date_extraction
REG01;BAT019;2024-07-31;1344.72;0.56;
REG02;BAT030;2024-05-31;1006.16;0.67;
REG02;BAT032;2024-06-30;2007.72;0.82;
REG03;BAT016;2024-08-31;485.92;0.63;
REG03;BAT027;2024-10-31;451.04;0.65;
REG04;BAT007;2024-09-30;3366.11;0.76;
REG04;BAT018;2024-01-31;1143.91;0.49;
REG04;BAT047;2024-02-29;5644.3;0.69;
REG06;BAT006;2024-09-30;683.94;0.82;
REG06;BAT029;2025-01-31;3722.24;0.65;
REG06;BAT041;2024-05-31;1469.17;0.5;
REG06;BAT041;2024-06-30;1660.37;0.78;
REG06;BAT042;2024-12-31;3098.04;0.8;
REG07;BAT010;2024-02-29;2158.9;0.73;
REG07;BAT046;2024-02-29;2640.31;0.7;
